theme_word,question,answer
food,What do you call a mill that meets?,meet grinder
pizza,What do you call a darkling_beetle that blooms?,flower beetle
bread,What do you call a darkling_beetle that blooms?,flower beetle
cheese,What do you call a mill that meets?,meet grinder
meat,What do you call a mill that meets?,meet grinder
fish,What do you call a campaign that ends?,last cause
fruit,What do you call a oyster that surrenders?,cede oyster
cake,What do you call a nymphalid that dawns?,morning cloak
bird,What do you call a hen that brews?,brewed hen
fish,What do you call a campaign that ends?,last cause
cow,What do you call a baggage that goes?,travelling bag
pig,What do you call a porpoise that hares?,haring hog
chicken,What do you call a hen that brews?,brewed hen
rabbit,What do you call a mill that meets?,meet grinder
tree,What do you call a pole that ends?,close tree
grass,What do you call a porpoise that hares?,haring hog
cloud,What do you call a effort that lets?,leased resistance
computer,What do you call a visit that quotes?,cite visit
phone,What do you call a bodybuilding that awaits?,wait gaining
internet,What do you call a serve that nets?,nett ball
robot,What do you call a device that signals?,signalling device
machine,What do you call a campaign that ends?,last cause
code,What do you call a access that disks?,disc access
car,What do you call a pedal that has synset('methane.n.01')?,gass pedal
bus,What do you call a packaging that meets?,meet packing
train,What do you call a status that unifies?,wholly order
bike,What do you call a pedal that has synset('methane.n.01')?,gass pedal
ship,What do you call a liner that crews?,crewes ship
truck,What do you call a car that has synset('bodyguard.n.01')?,guards van
subway,What do you call a queue that has synset('methane.n.01')?,gass line
football,What do you call a pitch that brakes?,braking ball
basketball,What do you call a pitch that brakes?,braking ball
tennis,What do you call a hoof that has synset('foal.n.01')?,horses foot
golf,What do you call a sport that teems?,teem sport
swimming,What do you call a descent that knows?,knows dive
running,What do you call a evil that birds?,fowl play
dancing,What do you call a sport that teems?,teem sport
music,What do you call a queue that has synset('methane.n.01')?,gass line
toy,What do you call a pitch that brakes?,braking ball
house,What do you call a face_lift that knows?,knows job
bedroom,What do you call a furniture that has child?,babies bed
furniture,What do you call a wardrobe that ends?,close closet
door,What do you call a access that disks?,disc access
window,What do you call a occasion that canvases?,sails event
roof,What do you call a tineid that ends?,close moth
school,What do you call a education that teems?,teem teaching
teacher,What do you call a salesperson that canvases?,sails demonstrator
book,What do you call a record that spins?,whirled record
pen,What do you call a bitch that brews?,brewed bitch
paper,What do you call a mill that meets?,meet grinder
desk,What do you call a table that equals?,peer table
job,What do you call a face_lift that knows?,knows job
work,What do you call a face_lift that knows?,knows job
doctor,What do you call a evil that birds?,fowl play
exercise,What do you call a effort that lets?,leased effort
sleep,What do you call a occasion that canvases?,sails event
heart,What do you call a pump that has synset('methane.n.01')?,gass pump
hand,What do you call a pitch that brakes?,braking ball
foot,What do you call a hoof that has synset('foal.n.01')?,horses foot
rain,What do you call a reflex that brakes?,braking wind
wind,What do you call a reflex that brakes?,braking wind
storm,What do you call a boxing_match that levers?,pries fight
spring,What do you call a amphipod that has synset('beech.n.02')?,beech flea
autumn,What do you call a occasion that canvases?,sails event
hot,What do you call a campaign that ends?,last cause
cold,What do you call a bodybuilding that awaits?,wait gaining
blue,What do you call a tineid that ends?,close moth
white,What do you call a campaign that ends?,last cause
painting,What do you call a worship that idles?,idle worship
drawing,What do you call a worship that idles?,idle worship
art,What do you call a support that clothes?,clothes support
color,What do you call a darkling_beetle that blooms?,flower beetle
time,What do you call a bit that has synset('centrist.n.01')?,center bit
calendar,What do you call a brake that interrupts?,break system
birthday,What do you call a visit that quotes?,cite visit
holiday,What do you call a count that knows?,knows count
party,What do you call a effort that lets?,leased resistance
wedding,What do you call a affairs that spins?,whirled affairs
meeting,What do you call a visit that quotes?,cite visit
event,What do you call a occasion that canvases?,sails event
