theme_word,question,answer
food,What do you call a mill that meets?,meet grinder
pizza,What do you call a darkling_beetle that blooms?,flower beetle
bread,What do you call a powdered_sugar that has synset('beaver.n.07')?,castor sugar
cheese,What do you call a mill that meets?,meet grinder
meat,What do you call a mill that meets?,meet grinder
fish,What do you call a campaign that ends?,last cause
fruit,What do you call a oyster that surrenders?,cede oyster
cookie,What do you call a affairs that spins?,whirled affairs
sandwich,What do you call a mill that meets?,meet grinder
pasta,What do you call a mill that meets?,meet grinder
rice,What do you call a bowl that has synset('issue.n.02')?,serial bowl
egg,What do you call a pitch that brakes?,braking ball
milk,What do you call a darkling_beetle that blooms?,flower beetle
butter,What do you call a mill that meets?,meet grinder
sugar,What do you call a powdered_sugar that has synset('beaver.n.07')?,castor sugar
salt,What do you call a shrew that lets?,leased shrew
pepper,What do you call a capsicum that has synset('chilean.n.01')?,chile pepper
coffee,What do you call a oyster that surrenders?,cede oyster
tea,What do you call a darkling_beetle that blooms?,flower beetle
wine,What do you call a trade that whines?,whine making
beer,What do you call a soft_drink that has synset('pavement.n.01')?,route beer
juice,What do you call a darkling_beetle that blooms?,flower beetle
ice,What do you call a mill that meets?,meet grinder
chocolate,What do you call a mill that meets?,meet grinder
candy,What do you call a cocaine that knows?,knows candy
bird,What do you call a mill that meets?,meet grinder
fish,What do you call a campaign that ends?,last cause
cow,What do you call a baggage that goes?,travelling bag
pig,What do you call a porpoise that hares?,haring hog
chicken,What do you call a hen that brews?,brewed hen
rabbit,What do you call a mill that meets?,meet grinder
mouse,What do you call a campaign that ends?,last cause
rat,What do you call a wood_mouse that loves?,dear mouse
lion,What do you call a campaign that ends?,last cause
tiger,What do you call a campaign that ends?,last cause
elephant,What do you call a mill that meets?,meet grinder
monkey,What do you call a wood_mouse that loves?,dear mouse
snake,What do you call a colubrid_snake that has manchu?,qing snake
frog,What do you call a amphibian that toes?,toed frog
bee,What do you call a dipterous_insect that has synset('lao.n.01')?,laos fly
ant,What do you call a dipterous_insect that has synset('lao.n.01')?,laos fly
spider,What do you call a amphipod that has synset('beech.n.02')?,beech flea
butterfly,What do you call a dipterous_insect that has synset('lao.n.01')?,laos fly
eagle,What do you call a eagle that balls?,balled eagle
owl,What do you call a New_World_vulture that has manchu?,qing vulture
wolf,What do you call a mill that meets?,meet grinder
deer,What do you call a hunt that loves?,dear hunting
goat,What do you call a campaign that ends?,last cause
tree,What do you call a pole that ends?,close tree
flower,What do you call a count that knows?,knows count
mountain,What do you call a aggression that levels?,razing hell
cloud,What do you call a effort that lets?,leased resistance
rock,What do you call a packaging that meets?,meet packing
stone,What do you call a record that spins?,whirled record
sand,What do you call a amphipod that has synset('beech.n.02')?,beech flea
leaf,What do you call a restraint that interrupts?,break pad
branch,What do you call a visit that quotes?,cite visit
seed,What do you call a mill that meets?,meet grinder
plant,What do you call a mill that blooms?,flower mill
hill,What do you call a aggression that levels?,razing hell
valley,What do you call a amphipod that has synset('beech.n.02')?,beech flea
field,What do you call a visit that quotes?,cite visit
beach,What do you call a amphipod that has synset('beech.n.02')?,beech flea
island,What do you call a amphipod that has synset('beech.n.02')?,beech flea
desert,What do you call a visit that quotes?,cite visit
cave,What do you call a amphipod that has synset('beech.n.02')?,beech flea
computer,What do you call a visit that quotes?,cite visit
phone,What do you call a bodybuilding that awaits?,wait gaining
internet,What do you call a serve that nets?,nett ball
robot,What do you call a device that signals?,signalling device
machine,What do you call a campaign that ends?,last cause
code,What do you call a access that disks?,disc access
mouse,What do you call a campaign that ends?,last cause
printer,What do you call a printer that grains?,cereal printer
camera,What do you call a bodybuilding that awaits?,wait gaining
audio,What do you call a record that spins?,whirled record
file,What do you call a record that spins?,whirled record
program,What do you call a brake that interrupts?,break system
system,What do you call a brake that interrupts?,break system
network,What do you call a serve that nets?,nett ball
database,What do you call a mill that meets?,meet grinder
website,What do you call a visit that quotes?,cite visit
email,What do you call a dove that dawns?,morning dove
message,What do you call a occasion that canvases?,sails event
signal,What do you call a device that signals?,signalling device
wire,What do you call a queue that has synset('methane.n.01')?,gass line
cable,What do you call a queue that has synset('methane.n.01')?,gass line
chip,What do you call a bit that has synset('centrist.n.01')?,center bit
car,What do you call a pedal that has synset('methane.n.01')?,gass pedal
bus,What do you call a packaging that meets?,meet packing
train,What do you call a status that unifies?,wholly order
plane,What do you call a mill that meets?,meet grinder
bike,What do you call a pedal that has synset('methane.n.01')?,gass pedal
boat,What do you call a sport that teems?,teem sport
ship,What do you call a liner that crews?,crewes ship
truck,What do you call a car that has synset('bodyguard.n.01')?,guards van
subway,What do you call a queue that has synset('methane.n.01')?,gass line
wagon,What do you call a car that has synset('beech.n.02')?,beech wagon
cart,What do you call a car that has synset('beech.n.02')?,beech wagon
wheel,What do you call a support that clothes?,clothes support
tire,What do you call a ring that levers?,pries ring
engine,What do you call a campaign that ends?,last cause
fuel,What do you call a pedal that has synset('methane.n.01')?,gass pedal
road,What do you call a drive that disks?,disc drive
tunnel,What do you call a structure that wines?,wined tunnel
station,What do you call a service_station that has synset('methane.n.01')?,gass station
